60
20
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4
1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
35,35,35,35,35,35,35,35,35,35,36,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,55,56,57,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,55,56,57,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,55,56,57,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,55,56,57,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,55,56,56,57,4,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,43,45,4,43,44,44,44,44,44,45,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,57,4,4,4,4,4,43,44,44,44,44,45,4,4,50,50,4,4,50,50,50,50,50,51,4,4
4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4,4,4,4,4,4,31,33,4,4,4,4,4,4,4,4,4,4,4,4,4,4,49,50,50,50,50,51,4,4,50,50,45,4,4,50,50,50,50,51,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,31,32,33,4,40,42,4,46,47,47,47,47,47,47,47,47,47,47,48,4,49,50,50,50,50,51,4,4,50,50,50,45,4,4,50,50,50,51,4,4
4,4,4,4,4,4,4,4,31,32,33,4,4,4,4,4,31,32,33,4,40,41,42,4,40,42,4,52,53,53,53,53,53,53,53,53,53,53,54,4,49,50,50,50,50,51,4,4,50,50,50,50,45,4,4,50,50,51,4,4
4,4,4,4,31,32,33,4,40,41,42,4,31,32,33,4,40,41,42,4,40,41,42,4,40,42,4,52,53,53,53,53,53,53,53,53,53,53,54,4,49,50,50,50,50,51,4,4,50,50,50,50,4,4,43,50,50,51,4,4
31,32,33,4,40,41,42,4,40,41,42,4,40,41,42,4,40,41,42,4,40,41,42,4,40,42,4,52,53,53,53,53,53,53,53,53,53,53,54,4,49,50,50,50,50,51,4,4,50,50,50,50,4,43,50,50,50,51,4,4
40,41,42,4,40,41,42,4,40,41,42,4,40,41,42,4,40,41,42,4,40,41,42,4,40,42,4,52,53,53,53,53,53,53,53,53,53,53,54,4,49,50,50,50,50,51,4,4,50,50,50,50,50,50,50,50,50,51,4,4
40,41,42,4,40,41,42,4,40,41,42,4,40,41,42,4,40,41,42,4,40,41,42,4,40,42,4,52,53,53,53,53,53,53,53,53,53,53,54,4,49,50,50,50,50,51,4,4,50,50,50,50,50,50,50,50,50,51,4,4
40,41,42,4,40,41,42,4,40,41,42,4,40,41,42,4,40,41,42,4,40,41,42,4,40,42,4,52,53,53,53,53,53,53,53,53,53,53,54,4,49,50,50,50,50,51,4,4,50,50,50,50,50,50,50,50,50,51,4,4
